date	price
02/07/2005	196.03
02/08/2005	198.64
02/09/2005	191.58
02/10/2005	187.98
02/11/2005	187.4
02/14/2005	192.99
02/15/2005	195.23
02/16/2005	198.41
02/17/2005	197.9
02/18/2005	197.95
02/22/2005	191.37
02/23/2005	193.95
02/24/2005	188.89
02/25/2005	185.87
02/28/2005	187.99
03/01/2005	186.06
03/02/2005	185.18
03/03/2005	187.01
03/04/2005	185.9
03/07/2005	188.81
03/08/2005	185.2
03/09/2005	181.35
03/10/2005	179.98
03/11/2005	177.8
03/14/2005	174.99
03/15/2005	178.61
03/16/2005	175.6
03/17/2005	179.29
03/18/2005	180.04
03/21/2005	180.88
03/22/2005	178.6
03/23/2005	178.98
03/24/2005	179.25
03/28/2005	181.42
03/29/2005	179.57
03/30/2005	180.45
03/31/2005	180.51
04/01/2005	180.04
04/04/2005	185.29
04/05/2005	188.57
04/06/2005	189.22
04/07/2005	193.76
04/08/2005	192.05
04/11/2005	193.23
04/12/2005	193.96
04/13/2005	192.93
04/14/2005	191.45
04/15/2005	185
04/18/2005	186.97
04/19/2005	191.4
04/20/2005	198.1
04/21/2005	204.22
04/22/2005	215.81
04/25/2005	223.53
04/26/2005	218.75
04/27/2005	219.78
04/28/2005	219.45
04/29/2005	220
05/02/2005	222.29
05/03/2005	226.19
05/04/2005	228.5
05/05/2005	226.98
05/06/2005	228.02
05/09/2005	226.02
05/10/2005	227.8
05/11/2005	231.29
05/12/2005	228.72
05/13/2005	229.24
05/16/2005	231.05
05/17/2005	233.13
05/18/2005	239.16
05/19/2005	239.18
05/20/2005	241.61
05/23/2005	255.45
05/24/2005	256
05/25/2005	260.81
05/26/2005	259.2
05/27/2005	266
05/31/2005	277.27
06/01/2005	288
06/02/2005	287.9
06/03/2005	280.26
06/06/2005	290.94
06/07/2005	293.12
06/08/2005	279.56
06/09/2005	286.31
06/10/2005	282.5
06/13/2005	282.75
06/14/2005	278.35
06/15/2005	274.8
06/16/2005	277.44
06/17/2005	280.3
06/20/2005	286.7
06/21/2005	287.84
06/22/2005	289.3
06/23/2005	289.71
06/24/2005	297.25
06/27/2005	304.1
06/28/2005	302
06/29/2005	292.72
06/30/2005	294.15
07/01/2005	291.25
07/05/2005	295.71
07/06/2005	291.52
07/07/2005	295.54
