Vent	O2	CO2
-49	19	0
0	19	0
-98	19	0
148	19	0
49	19	0
49	19	0
-24	19	3
25	19	3
-123	19	3
222	19	3
123	19	3
74	19	3
11	19	4.5
60	19	4.5
-88	19	4.5
306	19	4.5
158	19	4.5
158	19	4.5
56	19	6
105	19	6
-141	19	6
400	19	6
253	19	6
203	19	6
146	19	9
244	19	9
-51	19	9
687	19	9
441	19	9
392	19	9
61	17	0
61	17	0
160	17	0
12	17	0
-86	17	0
-37	17	0
-11	17	3
136	17	3
-110	17	3
235	17	3
87	17	3
38	17	3
169	17	4.5
317	17	4.5
22	17	4.5
71	17	4.5
169	17	4.5
-77	17	4.5
413	17	6
-128	17	6
266	17	6
118	17	6
69	17	6
216	17	6
-46	17	9
446	17	9
397	17	9
249	17	9
692	17	9
151	17	9
73	15	0
-74	15	0
172	15	0
-25	15	0
73	15	0
24	15	0
-98	15	3
148	15	3
99	15	3
247	15	3
50	15	3
1	15	3
180	15	4.5
180	15	4.5
33	15	4.5
-66	15	4.5
82	15	4.5
328	15	4.5
574	15	6
131	15	6
328	15	6
279	15	6
33	15	6
-164	15	6
8	15	9
205	15	9
549	15	9
254	15	9
402	15	9
352	15	9
183	13	0
-63	13	0
-14	13	0
84	13	0
84	13	0
35	13	0
14	13	3
-85	13	3
63	13	3
112	13	3
161	13	3
260	13	3
192	13	4.5
-54	13	4.5
192	13	4.5
340	13	4.5
45	13	4.5
94	13	4.5
439	13	6
95	13	6
-102	13	6
292	13	6
242	13	6
144	13	6
701	13	9
406	13	9
258	13	9
160	13	9
455	13	9
-37	13	9
