SalePrice	SqFeet	Bedrooms	Bathrooms	Air	AirSize	AirBeds	AirBath
360	3032	4	4	1	3032	4	4
340	2058	4	2	1	2058	4	2
250	1780	4	3	1	1780	4	3
205.5	1638	4	2	1	1638	4	2
275.5	2196	4	3	1	2196	4	3
248	1966	4	3	1	1966	4	3
229.9	2216	3	2	1	2216	3	2
150	1597	2	1	1	1597	2	1
195	1622	3	2	1	1622	3	2
160	1976	3	3	0	0	0	0
190	2812	7	5	0	0	0	0
559	2791	3	4	1	2791	3	4
535	3381	5	4	1	3381	5	4
525	3459	5	4	1	3459	5	4
299.9	2090	3	3	1	2090	3	3
527	3232	5	5	1	3232	5	5
169.9	1502	2	2	1	1502	2	2
335.25	2747	3	4	1	2747	3	4
323.9	2890	4	3	1	2890	4	3
200	1825	3	3	1	1825	3	3
211	1578	4	3	1	1578	4	3
212	1763	3	3	1	1763	3	3
245	2517	4	3	1	2517	4	3
140.4	1872	3	2	1	1872	3	2
295	3266	3	3	1	3266	3	3
170.9	2020	1	2	1	2020	1	2
229	2164	4	2	1	2164	4	2
218.5	2080	3	2	1	2080	3	2
160	2208	2	2	1	2208	2	2
259	3048	6	4	1	3048	6	4
164.5	1460	3	2	1	1460	3	2
280	2540	3	2	0	0	0	0
154	2208	2	2	1	2208	2	2
272	2560	4	2	1	2560	4	2
180	2061	4	2	0	0	0	0
157.5	1980	3	2	1	1980	3	2
242.5	3308	5	4	1	3308	5	4
182	2616	5	3	0	0	0	0
178	1460	4	2	1	1460	4	2
171.9	1580	2	1	0	0	0	0
165.5	1460	3	2	1	1460	3	2
183.5	1540	3	2	1	1540	3	2
135	1388	2	1	0	0	0	0
175	1624	3	2	1	1624	3	2
149.5	1580	2	1	1	1580	2	1
177.5	1820	3	2	1	1820	3	2
155	1733	4	1	1	1733	4	1
145	1896	3	2	0	0	0	0
178	2038	2	2	0	0	0	0
156	1436	3	2	0	0	0	0
159	1690	3	2	0	0	0	0
160	1496	2	2	0	0	0	0
112	1668	2	1	0	0	0	0
84	980	1	1	0	0	0	0
155	2562	3	2	0	0	0	0
360	2304	5	4	1	2304	5	4
104	1268	2	1	0	0	0	0
420	2283	3	3	1	2283	3	3
355	2060	2	3	1	2060	2	3
165	2087	2	2	1	2087	2	2
244	2081	4	2	1	2081	4	2
179.9	1696	3	3	1	1696	3	3
253	2222	4	2	0	0	0	0
200	2110	5	3	1	2110	5	3
200	1774	4	2	0	0	0	0
147.7	1592	3	2	1	1592	3	2
188.7	1748	3	2	1	1748	3	2
177	1985	3	1	0	0	0	0
585	2558	2	4	1	2558	2	4
549.9	4000	6	5	1	4000	6	5
675	3942	4	3	1	3942	4	3
830	3889	4	4	1	3889	4	4
920	3857	4	5	1	3857	4	5
855	4756	4	4	1	4756	4	4
585.5	3302	4	3	1	3302	4	3
399	2629	3	3	1	2629	3	3
790	4418	5	5	1	4418	5	5
665	4746	4	4	1	4746	4	4
725	3242	3	3	1	3242	3	3
647	2464	3	3	1	2464	3	3
780	4419	4	5	1	4419	4	5
657.5	3877	3	3	1	3877	3	3
578	3808	5	4	1	3808	5	4
500	3376	5	4	1	3376	5	4
484.53	2940	3	3	1	2940	3	3
609	2654	5	3	1	2654	5	3
635	2672	4	3	1	2672	4	3
519	3386	4	4	1	3386	4	4
625.1	3648	4	4	1	3648	4	4
585.444	3455	4	5	1	3455	4	5
399.9	3321	3	4	1	3321	3	4
389.9	2817	4	3	1	2817	4	3
649	3210	3	5	1	3210	3	5
